Counter,Date/time,Location,mag_x,mag_y,mag_z,yaw,pitch,roll,gyro_x,gyro_y,gyro_z
1,2023-05-04 03:57:30.564912,IERS2010 latitude +45.2414 N longitude -41.9540 E elevation 422683.8 m,7.672,5.73,5.622,32.717,332.454,60.457,0.001,0.002,0.0
2,2023-05-04 03:57:33.658968,IERS2010 latitude +45.3400 N longitude -41.7088 E elevation 422712.3 m,22.755,16.854,17.0,33.255,332.453,60.896,0.003,-0.002,0.001
3,2023-05-04 03:57:36.763711,IERS2010 latitude +45.4346 N longitude -41.4717 E elevation 422739.5 m,30.384,22.616,22.993,33.704,332.245,60.786,-0.001,0.001,0.001
4,2023-05-04 03:57:39.864665,IERS2010 latitude +45.5290 N longitude -41.2327 E elevation 422766.7 m,34.325,25.473,25.769,33.844,332.241,60.651,-0.003,-0.002,0.001
5,2023-05-04 03:57:42.966479,IERS2010 latitude +45.6226 N longitude -40.9936 E elevation 422793.7 m,36.573,26.81,27.369,34.436,331.999,60.632,-0.001,-0.001,-0.002
6,2023-05-04 03:57:46.060732,IERS2010 latitude +45.7157 N longitude -40.7532 E elevation 422820.6 m,37.583,27.503,28.567,34.554,331.837,60.932,0.001,-0.001,0.001
7,2023-05-04 03:57:49.148504,IERS2010 latitude +45.8080 N longitude -40.5129 E elevation 422847.2 m,38.109,27.66,29.068,35.02,332.027,60.979,0.0,0.002,-0.001
8,2023-05-04 03:57:52.242136,IERS2010 latitude +45.8997 N longitude -40.2716 E elevation 422873.7 m,38.362,28.008,29.251,35.665,331.882,60.543,0.001,0.0,-0.001
9,2023-05-04 03:57:55.341956,IERS2010 latitude +45.9909 N longitude -40.0296 E elevation 422900.0 m,38.795,28.123,29.441,35.638,332.17,60.044,0.001,0.001,-0.001
10,2023-05-04 03:57:58.442391,IERS2010 latitude +46.0818 N longitude -39.7859 E elevation 422926.2 m,38.85,27.921,29.015,35.769,331.778,59.758,0.002,0.002,-0.001
11,2023-05-04 03:58:01.548753,IERS2010 latitude +46.1721 N longitude -39.5412 E elevation 422952.3 m,38.697,27.931,28.841,35.856,332.03,59.605,0.001,0.002,-0.002
12,2023-05-04 03:58:04.655819,IERS2010 latitude +46.2619 N longitude -39.2956 E elevation 422978.3 m,38.618,27.97,29.0,35.888,332.242,59.45,0.001,-0.001,0.001
